index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00991667,0,0,0,0,0,0
1,10,1,0.0198333,0,0,0,0,0,0
2,10,2,0.02975,0,0,0,0,0,0
3,10,3,0.0396667,0,0,0,0,0,0
4,11,0,0.0495833,0,0,0,0,0,0
5,11,1,0.0595,0,0,0,0,0,0
6,11,2,0.0694167,0,0,0,0,0,0
7,11,3,0.0793333,0,0,0,0,0,0
8,12,0,0.08925,0,0,0,0,0,0
9,13,0,0.0991667,0,0,0,0,0,0
10,14,0,0.109083,0,0,0,0,0,0
11,15,0,0.119,0,0,0,0,0,0
12,16,0,0.128917,0,0,0,0,0,0
13,17,0,0.138833,0,0,0,0,0,0
14,18,0,0.14875,0,0,0,0,0,0
15,19,0,0.158667,0,0,0,0,0,0
16,20,0,0.168583,0,0,0,0,0,0
17,21,0,0.1785,0,0,0,0,0,0
18,22,0,0.188417,0,0,0,0,0,0
19,23,0,0.198333,0,0,0,0,0,0
20,24,0,0.20825,0,0,0,0,0,0
21,25,0,0.218167,0,0,0,0,0,0
22,26,0,0.228083,0,0,0,0,0,0
23,27,0,0.238,0,0,0,0,0,0
24,28,0,0.247917,0,0,0,0,0,0
25,29,0,0.257833,0,0,0,0,0,0
26,30,0,0.26775,0,0,0,0,0,0
27,31,0,0.277667,0,0,0,0,0,0
28,32,0,0.287583,0,0,0,0,0,0
29,33,0,0.2975,0,0,0,0,0,0
30,34,0,0.307417,0,0,0,0,0,0
31,35,0,0.317333,0,0,0,0,0,0
32,36,0,0.32725,0,0,0,0,0,0
33,37,0,0.337167,0,0,0,0,0,0
34,38,0,0.347083,0,0,0,0,0,0
35,39,0,0.357,0,0,0,0,0,0
36,40,0,0.366917,0,0,0,0,0,0
37,41,0,0.376833,0,0,0,0,0,0
38,42,0,0.38675,0,0,0,0,0,0
39,43,0,0.396667,0,0,0,0,0,0
40,44,0,0.406583,0,0,0,0,0,0
41,45,0,0.4165,0,0,0,0,0,0
42,46,0,0.426417,0,0,0,0,0,0
43,47,0,0.436333,0,0,0,0,0,0
44,48,0,0.44625,0,0,0,0,0,0
45,49,0,0.456167,0,0,0,0,0,0
46,50,0,0.466083,0,0,0,0,0,0
47,51,0,0.476,0,0,0,0,0,0
48,52,0,0.485917,0,0,0,0,0,0
49,53,0,0.495833,0,0,0,0,0,0
50,54,0,0.50575,0,0,0,0,0,0
51,55,0,0.515667,0,0,0,0,0,0
52,56,0,0.525583,0,0,0,0,0,0
53,57,0,0.5355,0,0,0,0,0,0
54,58,0,0.545417,0,0,0,0,0,0
55,59,0,0.555333,0,0,0,0,0,0
56,60,0,0.56525,0,0,0,0,0,0
57,61,0,0.575167,0,0,0,0,0,0
58,62,0,0.585083,0,0,0,0,0,0
59,63,0,0.595,0,0,0,0,0,0
60,64,0,0.604917,0,0,0,0,0,0
61,65,0,0.614833,0,0,0,0,0,0
62,66,0,0.62475,0,0,0,0,0,0
63,67,0,0.634667,0,0,0,0,0,0
64,68,0,0.644583,0,0,0,0,0,0
65,69,0,0.6545,0,0,0,0,0,0
66,70,0,0.664417,0,0,0,0,0,0
67,71,0,0.674333,0,0,0,0,0,0
68,72,0,0.68425,0,0,0,0,0,0
69,73,0,0.694167,0,0,0,0,0,0
70,74,0,0.704083,0,0,0,0,0,0
71,75,0,0.714,0,0,0,0,0,0
72,76,0,0.723917,0,0,0,0,0,0
73,77,0,0.733833,0,0,0,0,0,0
74,78,0,0.74375,0,0,0,0,0,0
75,79,0,0.753667,0,0,0,0,0,0
76,80,0,0.763583,0,0,0,0,0,0
77,81,0,0.7735,0,0,0,0,0,0
78,82,0,0.783417,0,0,0,0,0,0
79,83,0,0.793333,0,0,0,0,0,0
80,84,0,0.80325,0,0,0,0,0,0
81,85,0,0.813167,0,0,0,0,0,0
82,86,0,0.823083,0,0,0,0,0,0
83,87,0,0.833,0,0,0,0,0,0
84,88,0,0.842917,0,0,0,0,0,0
85,89,0,0.852833,0,0,0,0,0,0
86,90,0,0.86275,0,0,0,0,0,0
87,91,0,0.872667,0,0,0,0,0,0
88,92,0,0.882583,0,0,0,0,0,0
89,93,0,0.8925,0,0,0,0,0,0
90,94,0,0.902417,0,0,0,0,0,0
91,95,0,0.912333,0,0,0,0,0,0
92,96,0,0.92225,0,0,0,0,0,0
93,97,0,0.932167,0,0,0,0,0,0
94,98,0,0.942083,0,0,0,0,0,0
95,99,0,0.952,0,0,0,0,0,0
96,100,0,0.961917,0,0,0,0,0,0
97,101,0,0.971833,0,0,0,0,0,0.0924434
98,102,0,0.98175,0,0,0,0,0,0.166398
99,103,0,0.991667,0,0,0,0,0,0.314308
100,104,0,1.00158,0,0,0,0,0,0.42524
101,105,0,1.0115,0,0,0,0,0,0.591638
102,106,0,1.02142,0,0.0002,0,0.0201681,0,0.610126
103,107,0,1.03133,0,0.0004,0,0.0201681,0,0.591638
104,108,0,1.04125,1,0.0008,1,0.0403361,1,0.443728
105,109,0,1.05117,1,0.0012,0,0.0403361,-1,0.27733
106,110,0,1.06108,2,0.0018,1,0.0605042,1,0.0924434
107,111,0,1.071,2,0.0022,0,0.0403361,-1,-0.0184887
108,112,0,1.08092,3,0.0026,1,0.0403361,1,0.0369774
109,113,0,1.09083,3,0.0028,0,0.0201681,-1,0.055466
110,115,0,1.10075,3,0.003,0,0.0201681,0,0.240353
111,116,0,1.11067,3,0.0032,0,0.0201681,0,0.388262
112,117,0,1.12058,3,0.0036,0,0.0403361,0,0.610126
113,118,0,1.1305,4,0.0042,1,0.0605042,1,0.70257
114,119,0,1.14042,5,0.0048,1,0.0605042,0,0.850479
115,120,0,1.15033,6,0.0056,1,0.0806723,0,0.831991
116,121,0,1.16025,6,0.0064,0,0.0806723,-1,0.739547
117,122,0,1.17017,7,0.0072,1,0.0806723,1,0.573149
118,123,0,1.18008,8,0.008,1,0.0806723,0,0.443728
119,124,0,1.19,9,0.009,1,0.10084,0,0.369774
120,125,0,1.19992,10,0.01,1,0.10084,0,0.258842
121,126,0,1.20983,11,0.011,1,0.10084,0,0.221864
122,127,0,1.21975,12,0.012,1,0.10084,0,0.166398
123,128,0,1.22967,13,0.013,1,0.10084,0,0.0924434
124,129,0,1.23958,14,0.014,1,0.10084,0,0.0924434
125,130,0,1.2495,15,0.015,1,0.10084,0,0.166398
126,131,0,1.25942,16,0.016,1,0.10084,0,0.221864
127,132,0,1.26933,17,0.017,1,0.10084,0,0.351285
128,133,0,1.27925,18,0.018,1,0.10084,0,0.443728
129,134,0,1.28917,19,0.0192,1,0.121008,0,0.499194
130,135,0,1.29908,20,0.0204,1,0.121008,0,0.610126
131,136,0,1.309,22,0.0216,2,0.121008,1,0.758036
132,137,0,1.31892,23,0.023,1,0.141176,-1,0.831991
133,138,0,1.32883,24,0.0244,1,0.141176,0,0.924434
134,139,0,1.33875,26,0.0258,2,0.141176,1,0.924434
135,140,0,1.34867,27,0.0274,1,0.161345,-1,0.850479
136,141,0,1.35858,29,0.0292,2,0.181513,1,0.721058
137,142,0,1.3685,31,0.031,2,0.181513,0,0.536172
138,143,0,1.37842,33,0.033,2,0.201681,0,0.314308
139,144,0,1.38833,35,0.035,2,0.201681,0,0.0739547
140,145,0,1.39825,37,0.0368,2,0.181513,0,-0.0924434
141,146,0,1.40817,39,0.0386,2,0.181513,0,-0.27733
142,147,0,1.41808,40,0.0404,1,0.181513,-1,-0.351285
143,148,0,1.428,42,0.042,2,0.161345,1,-0.314308
144,149,0,1.43792,44,0.0436,2,0.161345,0,-0.166398
145,150,0,1.44783,45,0.0454,1,0.181513,-1,-1.19209e-08
146,151,0,1.45775,47,0.047,2,0.161345,1,0.166398
147,152,0,1.46767,49,0.0486,2,0.161345,0,0.221864
