index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
106,116,0,1.0736,0,-0.0002,0,-0.0199329,0,-0.48762
107,117,0,1.08364,0,-0.0004,0,-0.0199329,0,-0.50568
108,118,0,1.09367,-1,-0.0006,-1,-0.0199329,-1,-0.57792
109,119,0,1.1037,-1,-0.001,0,-0.0398658,1,-0.50568
110,120,0,1.11374,-1,-0.0014,0,-0.0398658,0,-0.48762
111,121,0,1.12377,-2,-0.0018,-1,-0.0398658,-1,-0.41538
112,122,0,1.1338,-2,-0.0022,0,-0.0398658,1,-0.48762
113,123,0,1.14384,-3,-0.0028,-1,-0.0597987,-1,-0.50568
114,124,0,1.15387,-3,-0.0032,0,-0.0398658,1,-0.55986
115,125,0,1.16391,-4,-0.0038,-1,-0.0597987,-1,-0.74046
116,126,0,1.17394,-4,-0.0044,0,-0.0597987,1,-0.84882
117,127,0,1.18397,-5,-0.0052,-1,-0.0797315,-1,-0.88494
118,128,0,1.19401,-6,-0.006,-1,-0.0797315,0,-0.93912
119,129,0,1.20404,-7,-0.007,-1,-0.0996644,0,-1.01136
120,130,0,1.21407,-8,-0.0082,-1,-0.119597,0,-0.903
121,131,0,1.22411,-9,-0.0094,-1,-0.119597,0,-0.8127
122,132,0,1.23414,-11,-0.0106,-2,-0.119597,-1,-0.74046
123,133,0,1.24418,-12,-0.012,-1,-0.13953,1,-0.68628
124,134,0,1.25421,-13,-0.0134,-1,-0.13953,0,-0.65016
125,135,0,1.26424,-15,-0.0148,-2,-0.13953,-1,-0.6321
126,136,0,1.27428,-16,-0.0162,-1,-0.13953,1,-0.74046
127,137,0,1.28431,-18,-0.0178,-2,-0.159463,-1,-0.77658
128,138,0,1.29434,-19,-0.0194,-1,-0.159463,1,-0.74046
129,139,0,1.30438,-21,-0.0212,-2,-0.179396,-1,-0.74046
130,140,0,1.31441,-23,-0.023,-2,-0.179396,0,-0.77658
131,141,0,1.32444,-25,-0.025,-2,-0.199329,0,-0.74046
132,142,0,1.33448,-27,-0.027,-2,-0.199329,0,-0.7224
133,143,0,1.34451,-29,-0.029,-2,-0.199329,0,-0.7224
134,144,0,1.35455,-31,-0.031,-2,-0.199329,0,-0.74046
135,145,0,1.36458,-33,-0.0332,-2,-0.219262,0,-0.77658
136,146,0,1.37461,-35,-0.0354,-2,-0.219262,0,-0.74046
137,147,0,1.38465,-38,-0.0378,-3,-0.239195,-1,-0.74046
138,148,0,1.39468,-40,-0.0402,-2,-0.239195,1,-0.77658
139,149,0,1.40471,-43,-0.0428,-3,-0.259128,-1,-0.74046
140,150,0,1.41475,-45,-0.0454,-2,-0.259128,1,-0.6321
141,151,0,1.42478,-48,-0.048,-3,-0.259128,-1,-0.74046
142,152,0,1.43481,-51,-0.0506,-3,-0.259128,0,-0.75852
143,153,0,1.44485,-53,-0.0534,-2,-0.27906,1,-0.79464
144,154,0,1.45488,-56,-0.0562,-3,-0.27906,-1,-0.75852
145,155,0,1.46492,-59,-0.059,-3,-0.27906,0,-0.84882
146,156,0,1.47495,-62,-0.0622,-3,-0.318926,0,-0.77658
147,157,0,1.48498,-65,-0.0654,-3,-0.318926,0,-0.74046
148,158,0,1.49502,-69,-0.0686,-4,-0.318926,-1,-0.7224
149,159,0,1.50505,-72,-0.0718,-3,-0.318926,1,-0.7224
150,160,0,1.51508,-75,-0.0752,-3,-0.338859,0,-0.65016
151,161,0,1.52512,-78,-0.0784,-3,-0.318926,0,-0.59598
152,162,0,1.53515,-82,-0.0818,-4,-0.338859,-1,-0.66822
153,163,0,1.54519,-85,-0.0854,-3,-0.358792,1,-0.68628
154,164,0,1.55522,-89,-0.089,-4,-0.358792,-1,-0.74046
155,165,0,1.56525,-93,-0.0926,-4,-0.358792,0,-0.7224
156,166,0,1.57529,-96,-0.0964,-3,-0.378725,1,-0.83076
157,167,0,1.58532,-100,-0.1002,-4,-0.378725,-1,-0.75852
158,168,0,1.59535,-104,-0.104,-4,-0.378725,0,-0.79464
159,169,0,1.60539,-108,-0.108,-4,-0.398658,0,-0.93912
160,170,0,1.61542,-112,-0.112,-4,-0.398658,0,-1.0836
161,171,0,1.62545,-116,-0.1162,-4,-0.418591,0,-1.02942
162,172,0,1.63549,-120,-0.1204,-4,-0.418591,0,-1.0836
163,173,0,1.64552,-125,-0.1248,-5,-0.438523,-1,-1.04748
164,174,0,1.65556,-129,-0.1294,-4,-0.458456,1,-0.83076
165,175,0,1.66559,-134,-0.1342,-5,-0.478389,-1,-0.65016
166,176,0,1.67562,-139,-0.1388,-5,-0.458456,0,-0.50568
167,177,0,1.68566,-144,-0.1436,-5,-0.478389,0,-0.39732
168,178,0,1.69569,-148,-0.1484,-4,-0.478389,1,-0.32508
169,179,0,1.70572,-153,-0.153,-5,-0.458456,-1,-0.37926
170,180,0,1.71576,-158,-0.1576,-5,-0.458456,0,-0.46956
171,181,0,1.72579,-162,-0.1624,-4,-0.478389,1,-0.61404
172,182,0,1.73582,-167,-0.1672,-5,-0.478389,-1,-0.70434
173,183,0,1.74586,-172,-0.1722,-5,-0.498322,0,-0.74046
174,184,0,1.75589,-177,-0.1774,-5,-0.518255,0,-0.83076
175,185,0,1.76593,-183,-0.1826,-6,-0.518255,-1,-0.75852
176,186,0,1.77596,-188,-0.1878,-5,-0.518255,1,-0.70434
177,187,0,1.78599,-193,-0.1932,-5,-0.538188,0,-0.66822
178,188,0,1.79603,-198,-0.1984,-5,-0.518255,0,-0.65016
179,189,0,1.80606,-204,-0.2038,-6,-0.538188,-1,-0.65016
180,190,0,1.81609,-209,-0.2092,-5,-0.538188,1,-0.77658
181,191,0,1.82613,-215,-0.2148,-6,-0.558121,-1,-0.83076
182,192,0,1.83616,-220,-0.2204,-5,-0.558121,1,-0.903
183,193,0,1.8462,-226,-0.2262,-6,-0.578054,-1,-0.9933
184,194,0,1.85623,-232,-0.232,-6,-0.578054,0,-0.903
185,195,0,1.86626,-238,-0.238,-6,-0.597987,0,-0.83076
186,196,0,1.8763,-244,-0.244,-6,-0.597987,0,-0.77658
187,197,0,1.88633,-250,-0.2502,-6,-0.617919,0,-0.65016
188,198,0,1.89636,-256,-0.2564,-6,-0.617919,0,-0.55986
189,199,0,1.9064,-263,-0.2626,-7,-0.617919,-1,-0.59598
190,200,0,1.91643,-269,-0.2688,-6,-0.617919,1,-0.65016
191,201,0,1.92646,-275,-0.2752,-6,-0.637852,0,-0.7224
192,202,0,1.9365,-281,-0.2814,-6,-0.617919,0,-0.8127
193,203,0,1.94653,-288,-0.2878,-7,-0.637852,-1,-0.92106
194,204,0,1.95657,-294,-0.2944,-6,-0.657785,1,-0.95718
195,205,0,1.9666,-301,-0.3012,-7,-0.677718,-1,-0.92106
196,206,0,1.97663,-308,-0.308,-7,-0.677718,0,-0.8127
197,207,0,1.98667,-315,-0.315,-7,-0.697651,0,-0.83076
198,208,0,1.9967,-322,-0.322,-7,-0.697651,0,-0.66822
199,209,0,2.00673,-329,-0.329,-7,-0.697651,0,-0.61404
200,210,0,2.01677,-336,-0.336,-7,-0.697651,0,-0.57792
201,211,0,2.0268,-343,-0.343,-7,-0.697651,0,-0.66822
202,212,0,2.03684,-350,-0.3502,-7,-0.717584,0,-0.68628
203,213,0,2.04687,-357,-0.3574,-7,-0.717584,0,-0.83076
204,214,0,2.0569,-365,-0.3648,-8,-0.737517,-1,-0.8127
205,215,0,2.06694,-372,-0.3722,-7,-0.737517,1,-0.83076
206,216,0,2.07697,-380,-0.3798,-8,-0.75745,-1,-0.86688
207,217,0,2.087,-387,-0.3874,-7,-0.75745,1,-0.8127
208,218,0,2.09704,-395,-0.3952,-8,-0.777383,-1,-0.77658
209,219,0,2.10707,-403,-0.4028,-8,-0.75745,0,-0.75852
210,220,0,2.1171,-411,-0.4106,-8,-0.777383,0,-0.84882
211,221,0,2.12714,-418,-0.4186,-7,-0.797315,1,-0.75852
212,222,0,2.13717,-426,-0.4266,-8,-0.797315,-1,-0.70434
213,223,0,2.14721,-435,-0.4346,-9,-0.797315,-1,-0.68628
214,224,0,2.15724,-443,-0.4428,-8,-0.817248,1,-0.79464
