index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00987903,0,0,0,0,0,0
1,10,1,0.0197581,0,0,0,0,0,0
2,10,2,0.0296371,0,0,0,0,0,0
3,10,3,0.0395161,0,0,0,0,0,0
4,11,0,0.0493952,0,0,0,0,0,0
5,11,1,0.0592742,0,0,0,0,0,0
6,11,2,0.0691532,0,0,0,0,0,0
7,11,3,0.0790323,0,0,0,0,0,0
8,13,0,0.0889113,0,0,0,0,0,0
9,14,0,0.0987903,0,0,0,0,0,0
10,15,0,0.108669,0,0,0,0,0,0
11,16,0,0.118548,0,0,0,0,0,0
12,17,0,0.128427,0,0,0,0,0,0
13,18,0,0.138306,0,0,0,0,0,0
14,19,0,0.148185,0,0,0,0,0,0
15,20,0,0.158065,0,0,0,0,0,0
16,21,0,0.167944,0,0,0,0,0,0
17,22,0,0.177823,0,0,0,0,0,0
18,23,0,0.187702,0,0,0,0,0,0
19,24,0,0.197581,0,0,0,0,0,0
20,25,0,0.20746,0,0,0,0,0,0
21,26,0,0.217339,0,0,0,0,0,0
22,27,0,0.227218,0,0,0,0,0,0
23,28,0,0.237097,0,0,0,0,0,0
24,29,0,0.246976,0,0,0,0,0,0
25,30,0,0.256855,0,0,0,0,0,0
26,31,0,0.266734,0,0,0,0,0,0
27,32,0,0.276613,0,0,0,0,0,0
28,33,0,0.286492,0,0,0,0,0,0
29,34,0,0.296371,0,0,0,0,0,0
30,35,0,0.30625,0,0,0,0,0,0
31,36,0,0.316129,0,0,0,0,0,0
32,37,0,0.326008,0,0,0,0,0,0
33,38,0,0.335887,0,0,0,0,0,0
34,39,0,0.345766,0,0,0,0,0,0
35,40,0,0.355645,0,0,0,0,0,0
36,41,0,0.365524,0,0,0,0,0,0
37,42,0,0.375403,0,0,0,0,0,0
38,43,0,0.385282,0,0,0,0,0,0
39,44,0,0.395161,0,0,0,0,0,0
40,45,0,0.40504,0,0,0,0,0,0
41,46,0,0.414919,0,0,0,0,0,0
42,47,0,0.424798,0,0,0,0,0,0
43,48,0,0.434677,0,0,0,0,0,0
44,49,0,0.444556,0,0,0,0,0,0
45,50,0,0.454435,0,0,0,0,0,0
46,51,0,0.464315,0,0,0,0,0,0
47,52,0,0.474194,0,0,0,0,0,0
48,53,0,0.484073,0,0,0,0,0,0
49,54,0,0.493952,0,0,0,0,0,0
50,55,0,0.503831,0,0,0,0,0,0
51,56,0,0.51371,0,0,0,0,0,0
52,57,0,0.523589,0,0,0,0,0,0
53,58,0,0.533468,0,0,0,0,0,0
54,59,0,0.543347,0,0,0,0,0,0
55,60,0,0.553226,0,0,0,0,0,0
56,61,0,0.563105,0,0,0,0,0,0
57,62,0,0.572984,0,0,0,0,0,-0.0931491
58,63,0,0.582863,0,0,0,0,0,-0.167668
59,64,0,0.592742,0,0,0,0,0,-0.316707
60,65,0,0.602621,0,0,0,0,0,-0.521635
61,66,0,0.6125,0,0,0,0,0,-0.670673
62,67,0,0.622379,0,-0.0002,0,-0.0202449,0,-0.763822
63,68,0,0.632258,0,-0.0004,0,-0.0202449,0,-0.894231
64,69,0,0.642137,-1,-0.0008,-1,-0.0404898,-1,-0.95012
65,70,0,0.652016,-1,-0.0014,0,-0.0607347,1,-0.931491
66,71,0,0.661895,-2,-0.002,-1,-0.0607347,-1,-0.931491
67,72,0,0.671774,-3,-0.0026,-1,-0.0607347,0,-0.838342
68,73,0,0.681653,-3,-0.0034,0,-0.0809796,1,-0.763822
69,74,0,0.691532,-4,-0.0042,-1,-0.0809796,-1,-0.707933
70,75,0,0.701411,-5,-0.005,-1,-0.0809796,0,-0.670673
71,76,0,0.71129,-6,-0.006,-1,-0.101224,0,-0.670673
72,77,0,0.721169,-7,-0.007,-1,-0.101224,0,-0.707933
73,78,0,0.731048,-8,-0.008,-1,-0.101224,0,-0.763822
74,79,0,0.740927,-9,-0.0092,-1,-0.121469,0,-0.745193
75,80,0,0.750806,-10,-0.0104,-1,-0.121469,0,-0.763822
76,81,0,0.760685,-12,-0.0116,-2,-0.121469,-1,-0.801082
77,82,0,0.770565,-13,-0.013,-1,-0.141714,1,-0.856971
78,83,0,0.780444,-14,-0.0146,-1,-0.161959,0,-0.838342
79,84,0,0.790323,-16,-0.016,-2,-0.141714,-1,-0.838342
80,85,0,0.800202,-18,-0.0176,-2,-0.161959,0,-0.856971
81,86,0,0.810081,-19,-0.0194,-1,-0.182204,1,-0.894231
82,88,0,0.81996,-21,-0.0212,-2,-0.182204,-1,-0.838342
83,89,0,0.829839,-23,-0.023,-2,-0.182204,0,-0.801082
84,90,0,0.839718,-25,-0.025,-2,-0.202449,0,-0.894231
85,91,0,0.849597,-27,-0.027,-2,-0.202449,0,-0.801082
86,92,0,0.859476,-29,-0.0292,-2,-0.222694,0,-0.726563
87,93,0,0.869355,-31,-0.0314,-2,-0.222694,0,-0.782452
88,94,0,0.879234,-34,-0.0336,-3,-0.222694,-1,-0.763822
89,95,0,0.889113,-36,-0.036,-2,-0.242939,1,-0.670673
90,96,0,0.898992,-38,-0.0384,-2,-0.242939,0,-0.707933
91,97,0,0.908871,-41,-0.0408,-3,-0.242939,-1,-0.670673
92,98,0,0.91875,-43,-0.0434,-2,-0.263184,1,-0.670673
93,99,0,0.928629,-46,-0.046,-3,-0.263184,-1,-0.707933
94,100,0,0.938508,-49,-0.0486,-3,-0.263184,0,-0.763822
95,101,0,0.948387,-51,-0.0514,-2,-0.283429,1,-0.838342
96,102,0,0.958266,-54,-0.0542,-3,-0.283429,-1,-0.838342
97,103,0,0.968145,-57,-0.057,-3,-0.283429,0,-0.856971
98,104,0,0.978024,-60,-0.06,-3,-0.303673,0,-0.894231
99,105,0,0.987903,-63,-0.0632,-3,-0.323918,0,-0.763822
100,106,0,0.997782,-66,-0.0664,-3,-0.323918,0,-0.670673
101,107,0,1.00766,-70,-0.0696,-4,-0.323918,-1,-0.707933
102,108,0,1.01754,-73,-0.073,-3,-0.344163,1,-0.670673
103,109,0,1.02742,-76,-0.0764,-3,-0.344163,0,-0.652043
104,110,0,1.0373,-80,-0.0796,-4,-0.323918,-1,-0.745193
105,111,0,1.04718,-83,-0.083,-3,-0.344163,1,-0.856971
106,112,0,1.05706,-86,-0.0866,-3,-0.364408,0,-0.894231
107,113,0,1.06694,-90,-0.0902,-4,-0.364408,-1,-0.856971
108,114,0,1.07681,-94,-0.094,-4,-0.384653,0,-0.856971
109,115,0,1.08669,-98,-0.098,-4,-0.404898,0,-0.801082
110,116,0,1.09657,-102,-0.102,-4,-0.404898,0,-0.670673
111,117,0,1.10645,-106,-0.106,-4,-0.404898,0,-0.558894
112,118,0,1.11633,-110,-0.11,-4,-0.404898,0,-0.577524
113,119,0,1.12621,-114,-0.114,-4,-0.404898,0,-0.521635
114,120,0,1.13609,-118,-0.118,-4,-0.404898,0,-0.596154
115,121,0,1.14597,-122,-0.1222,-4,-0.425143,0,-0.707933
116,122,0,1.15585,-126,-0.1264,-4,-0.425143,0,-0.763822
117,123,0,1.16573,-131,-0.1308,-5,-0.445388,-1,-0.856971
118,124,0,1.1756,-135,-0.1352,-4,-0.445388,1,-0.875601
119,125,0,1.18548,-140,-0.1398,-5,-0.465633,-1,-0.912861
120,126,0,1.19536,-144,-0.1444,-4,-0.465633,1,-0.856971
121,127,0,1.20524,-149,-0.149,-5,-0.465633,-1,-0.912861
122,128,0,1.21512,-154,-0.1538,-5,-0.485878,0,-0.782452
123,129,0,1.225,-158,-0.1586,-4,-0.485878,1,-0.782452
124,130,0,1.23488,-164,-0.1636,-6,-0.506122,-2,-0.707933
125,131,0,1.24476,-168,-0.1686,-4,-0.506122,2,-0.670673
126,132,0,1.25464,-174,-0.1738,-6,-0.526367,-2,-0.670673
127,133,0,1.26452,-179,-0.1788,-5,-0.506122,1,-0.596154
128,134,0,1.2744,-184,-0.184,-5,-0.526367,0,-0.652043
129,135,0,1.28427,-189,-0.1892,-5,-0.526367,0,-0.633414
130,136,0,1.29415,-194,-0.1944,-5,-0.526367,0,-0.745193
131,137,0,1.30403,-200,-0.1998,-6,-0.546612,-1,-0.782452
132,138,0,1.31391,-205,-0.2052,-5,-0.546612,1,-0.95012
133,139,0,1.32379,-211,-0.2108,-6,-0.566857,-1,-0.931491
134,140,0,1.33367,-216,-0.2164,-5,-0.566857,1,-0.931491
135,141,0,1.34355,-222,-0.2222,-6,-0.587102,-1,-0.856971
136,142,0,1.35343,-228,-0.228,-6,-0.587102,0,-0.707933
137,143,0,1.36331,-234,-0.234,-6,-0.607347,0,-0.689303
138,144,0,1.37319,-240,-0.24,-6,-0.607347,0,-0.596154
139,145,0,1.38306,-246,-0.246,-6,-0.607347,0,-0.633414
140,146,0,1.39294,-252,-0.252,-6,-0.607347,0,-0.596154
141,147,0,1.40282,-258,-0.258,-6,-0.607347,0,-0.689303
142,148,0,1.4127,-264,-0.2642,-6,-0.627592,0,-0.707933
143,149,0,1.42258,-270,-0.2704,-6,-0.627592,0,-0.856971
144,150,0,1.43246,-277,-0.2768,-7,-0.647837,-1,-0.931491
145,151,0,1.44234,-283,-0.2832,-6,-0.647837,1,-1.02464
146,152,0,1.45222,-290,-0.2898,-7,-0.668082,-1,-1.02464
147,153,0,1.4621,-296,-0.2964,-6,-0.668082,1,-0.931491
148,154,0,1.47198,-303,-0.3032,-7,-0.688327,-1,-0.856971
149,155,0,1.48185,-310,-0.31,-7,-0.688327,0,-0.801082
150,156,0,1.49173,-317,-0.317,-7,-0.708571,0,-0.763822
151,157,0,1.50161,-324,-0.324,-7,-0.708571,0,-0.652043
152,158,0,1.51149,-331,-0.331,-7,-0.708571,0,-0.670673
153,159,0,1.52137,-338,-0.338,-7,-0.708571,0,-0.707933
154,160,0,1.53125,-345,-0.3452,-7,-0.728816,0,-0.670673
155,161,0,1.54113,-352,-0.3524,-7,-0.728816,0,-0.670673
156,162,0,1.55101,-360,-0.3596,-8,-0.728816,-1,-0.801082
157,163,0,1.56089,-367,-0.367,-7,-0.749061,1,-0.856971
158,164,0,1.57077,-374,-0.3746,-7,-0.769306,0,-0.838342
159,165,0,1.58065,-382,-0.382,-8,-0.749061,-1,-0.838342
160,166,0,1.59052,-390,-0.3896,-8,-0.769306,0,-0.95012
161,167,0,1.6004,-397,-0.3974,-7,-0.789551,1,-0.96875
162,168,0,1.61028,-405,-0.4052,-8,-0.789551,-1,-0.894231
163,169,0,1.62016,-413,-0.413,-8,-0.789551,0,-0.838342
164,170,0,1.63004,-421,-0.421,-8,-0.809796,0,-0.819712
165,171,0,1.63992,-429,-0.4292,-8,-0.830041,0,-0.633414
166,172,0,1.6498,-437,-0.4374,-8,-0.830041,0,-0.577524
167,173,0,1.65968,-446,-0.4456,-9,-0.830041,-1,-0.558894
168,174,0,1.66956,-454,-0.4538,-8,-0.830041,1,-0.577524
169,175,0,1.67944,-462,-0.462,-8,-0.830041,0,-0.614784
170,176,0,1.68931,-470,-0.4702,-8,-0.830041,0,-0.670673
171,177,0,1.69919,-478,-0.4786,-8,-0.850286,0,-0.763822
172,178,0,1.70907,-487,-0.487,-9,-0.850286,-1,-0.894231
173,179,0,1.71895,-496,-0.4956,-9,-0.870531,0,-0.950121
174,180,0,1.72883,-504,-0.5044,-8,-0.890776,1,-1.02464
175,181,0,1.73871,-513,-0.5132,-9,-0.890776,-1,-1.00601
176,182,0,1.74859,-522,-0.522,-9,-0.890776,0,-0.894231
177,183,0,1.75847,-531,-0.531,-9,-0.91102,0,-0.801082
178,184,0,1.76835,-540,-0.54,-9,-0.91102,0,-0.0745193
179,185,0,1.77823,-549,-0.5492,-9,-0.931265,0,1.34135
180,186,0,1.7881,-558,-0.5584,-9,-0.931265,0,3.26022
181,187,0,1.79798,-568,-0.5676,-10,-0.931265,-1,5.60757
182,188,0,1.80786,-577,-0.5768,-9,-0.931265,1,8.3089
183,189,0,1.81774,-586,-0.5848,-9,-0.809796,0,10.6004
184,190,0,1.82762,-595,-0.591,-9,-0.627592,0,12.2957
185,191,0,1.8375,-598,-0.5954,-3,-0.445388,6,13.134
186,192,0,1.84738,-599,-0.598,-1,-0.263184,2,13.1713
187,193,0,1.85726,-599,-0.5986,0,-0.0607347,1,12.1839
188,194,0,1.86714,-599,-0.5982,0,0.0404898,0,10.1719
189,195,0,1.87702,-598,-0.5972,1,0.101224,1,7.80589
190,196,0,1.8869,-596,-0.5958,2,0.141714,1,5.43991
191,197,0,1.89677,-594,-0.594,2,0.182204,0,3.26022
